,Pattern,Relative SUP,local_dropout_interest,local_dropout_criterion
67,"[3, 4, 5, 6, 7, 8, 9, 10]",0.547986577181208,0.19319181834573323,0.10586652327469206
68,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5338926174496644,0.19769839478294174,0.10554971345626185
66,"[3, 4, 5, 6, 7, 8, 9]",0.5587248322147651,0.18860246631396338,0.10537688134656008
69,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.5231543624161074,0.2010275646519929,0.10516844741357614
70,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5110738255033557,0.20531721219908286,0.10493225308026952
71,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5090604026845638,0.20479044271409064,0.10425070523398507
65,"[3, 4, 5, 6, 7, 8]",0.5630872483221476,0.18153083257038166,0.10221769699768471
1,"[1, 2, 3]",0.9167785234899329,-0.11087922474867935,0.10165169195080269
72,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.4825503355704698,0.20832433128624112,0.10052697596966936
73,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.48053691275167787,0.20593564267714054,0.0989596779576058
64,"[3, 4, 5, 6, 7]",0.5654362416107382,0.16907169783747789,0.09559926538796988
74,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.4429530201342282,0.20685816454892575,0.0916284487263698
63,"[3, 4, 5, 6]",0.5761744966442953,0.14965973908834854,0.08623012483714579
78,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",0.37919463087248323,0.21393250225356428,0.081122056223667
77,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.37919463087248323,0.2138396446651168,0.08108684512469194
76,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.3802013422818792,0.21166956528353265,0.08047705284102097
75,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0.38154362416107385,0.2093680470083333,0.07988304343908556
31,"[2, 3]",0.9177852348993288,-0.08441215702902777,0.07747223136724528
79,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.36644295302013424,0.2087236274681631,0.07648530241450809
2,"[1, 2, 3, 4]",0.6865771812080537,-0.1110862478298022,0.07626928290596487
62,"[3, 4, 5]",0.609731543624161,0.11692170168616339,0.07129084965226808
80,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28]",0.3201342281879195,0.21025165227182263,0.06730875042527476
82,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31]",0.2966442953020134,0.22382875195628232,0.06639752239240053
81,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29]",0.3080536912751678,0.21440988697063393,0.06604975712719528
3,"[1, 2, 3, 4, 5]",0.6083892617449664,-0.0966669114983283,0.05881111092163396
61,"[3, 4]",0.6879194630872483,0.06951183853943804,0.04781854664625771
4,"[1, 2, 3, 4, 5, 6]",0.5748322147651007,-0.08103195005813073,0.04657977531865032
32,"[2, 3, 4]",0.6869127516778524,-0.06620831701241167,0.04547933722295527
94,"[4, 5, 6, 7, 8, 9]",0.5600671140939597,0.08101253362074784,0.04537245591041213
84,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36]",0.20033557046979866,0.22585734739785493,0.045247260535744765
83,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35]",0.20033557046979866,0.2249496787144392,0.0450654222122551
95,"[4, 5, 6, 7, 8, 9, 10]",0.5493288590604026,0.08176697245910478,0.04491695768978339
96,"[4, 5, 6, 7, 8, 9, 10, 11]",0.5348993288590604,0.08338701705193337,0.04460365945663819
93,"[4, 5, 6, 7, 8]",0.5644295302013422,0.07881332200558192,0.044484566313217705
98,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5120805369127517,0.08682525634011508,0.044461523884233425
97,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",0.5241610738255034,0.08434028364556047,0.04420789364240452
99,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5100671140939598,0.0843840786092228,0.043041543451684115
100,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.4835570469798658,0.08666101514788513,0.04190554457318875
92,"[4, 5, 6, 7]",0.5667785234899329,0.07231594521797126,0.04098712465542062
0,"[1, 2]",0.998993288590604,-0.040953340046995634,0.04091211185231745
85,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37]",0.17885906040268457,0.2267697155909885,0.04055981825838821
101,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.4815436241610738,0.08275316888112144,0.039849260853828616
5,"[1, 2, 3, 4, 5, 6, 7]",0.5640939597315436,-0.07002902309526228,0.03950294893393822
86,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38]",0.16845637583892617,0.22729758746865444,0.03828972782190085
102,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.44395973154362417,0.08261007065211581,0.03667554478951316
91,"[4, 5, 6]",0.5775167785234899,0.060522641705588624,0.03495284106554296
