,Pattern,Relative SUP,local_interest_17,local_criterion_17,local_interest_28,local_criterion_28,local_interest_77,local_criterion_77,local_interest_81,local_criterion_81,local_interest_78,local_criterion_78
0,"[1, 2]",1.0,0,0,0,0,0,0,0,0,0.0,0.0
481,"[29, 31, 35, 36]",0.8178506375227687,0,0,0,0,0,0,0,0,0.07744017847077589,0.06333449933220105
423,"[19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38]",0.4280387770320656,0,0,0,0,0,0,0,0,0.21366422730317636,0.09145657455035289
424,"[19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39]",0.3870246085011186,0,0,0,0,0,0,0,0,0.2204375403229185,0.08531475274242707
425,"[19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40]",0.3296047725577927,0,0,0,0,0,0,0,0,0.19881795648761424,0.06553134732850521
426,"[19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41]",0.3035048471290082,0,0,0,0,0,0,0,0,0.18186343016963624,0.055196432571992506
427,"[19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41, 42]",0.2348993288590604,0,0,0,0,0,0,0,0,0.16085396508072503,0.03778448844178105
428,"[20, 21]",1.0,0,0,0,0,0,0,0,0,-0.006974130688575553,0.006974130688575553
429,"[20, 21, 22]",0.9648729446935725,0,0,0,0,0,0,0,0,0.01226659074192693,0.011835701530513953
430,"[20, 21, 22, 28]",0.8288490284005979,0,0,0,0,0,0,0,0,0.10401457694901606,0.0862123810436912
431,"[20, 21, 22, 28, 29]",0.7997010463378177,0,0,0,0,0,0,0,0,0.11444370931248815,0.09152075408397782
432,"[20, 21, 22, 28, 29, 31]",0.7623318385650224,0,0,0,0,0,0,0,0,0.13718889331465933,0.10458346127126496
433,"[20, 21, 22, 28, 29, 31, 32]",0.2615844544095665,0,0,0,0,0,0,0,0,-0.044330678319931316,0.011596216301925233
434,"[20, 21, 22, 28, 29, 31, 35]",0.5052316890881914,0,0,0,0,0,0,0,0,0.23064080911614526,0.1165270455624172
435,"[20, 21, 22, 28, 29, 31, 35, 36]",0.5052316890881914,0,0,0,0,0,0,0,0,0.23064080911614526,0.1165270455624172
436,"[20, 21, 22, 28, 29, 31, 35, 36, 37]",0.45440956651718983,0,0,0,0,0,0,0,0,0.21904823502357118,0.0995376135234165
