,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
325,"[2, 3]",0.9517730496453901,-0.12225787215887184,0.11636174782780569
730,"[3, 9]",0.451063829787234,-0.23273240450966948,0.10497716969372325
25,"[1, 3]",0.9517730496453901,-0.10648457900451759,0.10134915249933518
691,"[3, 7]",0.5134751773049645,-0.16300274051856484,0.0836978610889652
625,"[3, 4]",0.5617021276595745,-0.14263330025962184,0.08011742823093652
0,"[1, 2]",0.9914893617021276,0.07840484147907725,0.0777375662324468
693,"[3, 7, 9]",0.451063829787234,-0.16144099913800064,0.07282019535586412
630,"[3, 4, 9]",0.451063829787234,-0.14786137229870527,0.06669491686665004
331,"[2, 3, 9]",0.451063829787234,-0.13427775356487198,0.060567837778197575
31,"[1, 3, 9]",0.451063829787234,-0.12376222479530251,0.05582466309915773
652,"[3, 5, 9]",0.451063829787234,-0.12275684719418022,0.0553711736280132
673,"[3, 6, 9]",0.451063829787234,-0.12092534536267839,0.05454504939763365
712,"[3, 8, 9]",0.451063829787234,-0.12092534536267839,0.05454504939763365
648,"[3, 5]",0.5163120567375886,-0.10497651260283415,0.054200639131108695
670,"[3, 6]",0.5134751773049645,-0.10222925985558141,0.05249218733009996
628,"[3, 4, 7]",0.5134751773049645,-0.10137492963796889,0.05205350997013437
1154,"[5, 6]",0.5134751773049645,0.09994152018405109,0.05131748979663332
94,"[1, 6]",0.5134751773049645,0.09843345378236766,0.05054313513364126
73,"[1, 5, 6]",0.5134751773049645,0.0980203916671779,0.05033103799080624
835,"[3, 21]",0.2028368794326241,-0.24558590321222473,0.04981387824021012
72,"[1, 5]",0.5163120567375886,0.09568620103511492,0.049403939257846564
731,"[3, 9, 10]",0.3333333333333333,-0.14645726025629535,0.04881908675209845
732,"[3, 9, 11]",0.3078014184397163,-0.15779170480968296,0.04856851055844142
765,"[3, 11]",0.3078014184397163,-0.1575287990260883,0.048487587785334976
1,"[1, 2, 3]",0.9517730496453901,-0.05011253656143737,0.047695761748545354
748,"[3, 10]",0.3333333333333333,-0.14052713219600693,0.04684237739866898
1405,"[6, 8]",0.451063829787234,0.10268877293130384,0.046319191194545556
711,"[3, 8]",0.451063829787234,-0.10222925985558141,0.04611192146677289
1156,"[5, 6, 8]",0.451063829787234,0.10085727109980201,0.04549306696416601
1195,"[5, 8]",0.451063829787234,0.09994152018405109,0.04508000484897623
329,"[2, 3, 7]",0.5134751773049645,-0.08779131090413554,0.04507865893233626
96,"[1, 6, 8]",0.451063829787234,0.09985189349867972,0.04503957749302149
373,"[2, 5, 6]",0.5134751773049645,0.0875048628976084,0.04493157499139608
4,"[1, 2, 6]",0.5134751773049645,0.08649948529648611,0.04441533854940138
135,"[1, 8]",0.451063829787234,0.09843345378236766,0.04439977064225945
75,"[1, 5, 8]",0.451063829787234,0.0980203916671779,0.04421345326264194
737,"[3, 9, 21]",0.2028368794326241,-0.2164964409337739,0.04391346248727612
3,"[1, 2, 5]",0.5163120567375886,0.08466798346498428,0.043715100682630174
394,"[2, 6]",0.5134751773049645,0.08266016062801343,0.04244394063452604
326,"[2, 3, 4]",0.5617021276595745,-0.07421168406484023,0.041684860836420895
372,"[2, 5]",0.5163120567375886,0.07991290788076068,0.041259997827797
396,"[2, 6, 8]",0.451063829787234,0.08933636472911023,0.040296402813981634
1614,"[7, 9]",0.451063829787234,-0.08858785238576762,0.0399587759697505
29,"[1, 3, 7]",0.5134751773049645,-0.07727578213456608,0.039679195932926126
375,"[2, 5, 8]",0.451063829787234,0.0875048628976084,0.03947027858360208
650,"[3, 5, 7]",0.5134751773049645,-0.07627040453344379,0.03916295949093142
6,"[1, 2, 8]",0.451063829787234,0.08649948529648611,0.03901678911245757
733,"[3, 9, 12]",0.27375886524822696,-0.14165073396371464,0.038778144191485
671,"[3, 6, 7]",0.5134751773049645,-0.07443890270194196,0.03822252876326665
902,"[4, 5, 6]",0.5134751773049645,0.07392124416377507,0.037956723953597976
51,"[1, 4, 6]",0.5134751773049645,0.07291586656265278,0.03744048751160327
435,"[2, 8]",0.451063829787234,0.08266016062801343,0.03728500862369968
50,"[1, 4, 5]",0.5163120567375886,0.07108436473115096,0.03670171455622546
781,"[3, 12]",0.27375886524822696,-0.1333173427571358,0.03649680447110243
735,"[3, 9, 19]",0.2297872340425532,-0.15796238239971538,0.03629773893440268
810,"[3, 19]",0.2297872340425532,-0.15778481541113698,0.03625693630723999
26,"[1, 3, 4]",0.5617021276595745,-0.06369615529527071,0.03577826595308824
2043,"[9, 21]",0.2028368794326241,-0.17117101507942756,0.03471979454802573
700,"[3, 7, 21]",0.2028368794326241,-0.17000999827303748,0.034484297522048735
695,"[3, 7, 11]",0.3078014184397163,-0.11130526214894655,0.03425991756925022
925,"[4, 6, 8]",0.451063829787234,0.0757527459952769,0.03416932372552915
734,"[3, 9, 13]",0.25673758865248225,-0.13197506911958445,0.033882961008006786
812,"[3, 19, 21]",0.2028368794326241,-0.16653138153475228,0.03377870575811287
770,"[3, 11, 21]",0.2028368794326241,-0.1663607039447198,0.033744086048361606
692,"[3, 7, 8]",0.451063829787234,-0.07443890270194196,0.03357669653789722
2,"[1, 2, 4]",0.5617021276595745,0.05956345836045918,0.03345692129183239
904,"[4, 5, 8]",0.451063829787234,0.07392124416377507,0.033343199495149606
694,"[3, 7, 10]",0.3333333333333333,-0.09997081759555897,0.03332360586518632
53,"[1, 4, 8]",0.451063829787234,0.07291586656265278,0.032889710024005085
49,"[1, 4]",0.5617021276595745,0.05802941337832726,0.0325952449614434
626,"[3, 4, 5]",0.5163120567375886,-0.06269077769414842,0.03236800436974471
351,"[2, 4, 6]",0.5134751773049645,0.06240033779308329,0.032041024512193116
923,"[4, 6]",0.5134751773049645,0.06228473252726343,0.03198166407782888
637,"[3, 4, 21]",0.2028368794326241,-0.15643037143374217,0.03172984839010656
754,"[3, 10, 21]",0.2028368794326241,-0.15502625939133224,0.03144504268505037
350,"[2, 4, 5]",0.5163120567375886,0.060568835961581455,0.031272420269525744
627,"[3, 4, 6]",0.5134751773049645,-0.0608592758626466,0.03124972746422421
1155,"[5, 6, 7]",0.5134751773049645,0.06034161732447972,0.030983922654555542
983,"[4, 9]",0.451063829787234,-0.06821841212682463,0.030770858235929406
901,"[4, 5]",0.5163120567375886,0.059537479780010685,0.030739918638189912
796,"[3, 13]",0.25673758865248225,-0.11880384549094054,0.03050141281398615
785,"[3, 12, 21]",0.2028368794326241,-0.15021973309875147,0.030470101890952426
95,"[1, 6, 7]",0.5134751773049645,0.059336239723357435,0.030467686212560838
632,"[3, 4, 11]",0.3078014184397163,-0.09772563530965118,0.03008008916623306
749,"[3, 10, 11]",0.3078014184397163,-0.09632152326724132,0.029647901487931016
74,"[1, 5, 7]",0.5134751773049645,0.05750473789185561,0.02952725548489607
338,"[2, 3, 21]",0.2028368794326241,-0.14284675269990887,0.02897458955473329
631,"[3, 4, 10]",0.3333333333333333,-0.0863911907562636,0.0287970635854212
799,"[3, 13, 21]",0.2028368794326241,-0.1405440682546213,0.028507520227533112
353,"[2, 4, 8]",0.451063829787234,0.06240033779308329,0.028146535344965227
964,"[4, 8]",0.451063829787234,0.06228473252726343,0.02809438999102095
1386,"[6, 7, 8]",0.451063829787234,0.06217311915598155,0.028044045236315082
629,"[3, 4, 8]",0.451063829787234,-0.0608592758626466,0.027451418048683146
1176,"[5, 7, 8]",0.451063829787234,0.06034161732447972,0.027217921005935532
38,"[1, 3, 21]",0.2028368794326241,-0.13233122393033936,0.026841652513529827
116,"[1, 7, 8]",0.451063829787234,0.059336239723357435,0.026764431534791012
824,"[3, 20, 21]",0.2028368794326241,-0.13180915931253,0.026735758555591193
659,"[3, 5, 21]",0.2028368794326241,-0.13132584632921707,0.026637724858266723
719,"[3, 8, 21]",0.2028368794326241,-0.12949434449771524,0.026266228742089757
