,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
25,"[1, 3]",0.9517730496453901,0.0941781346334315,0.08963621040997523
730,"[3, 9]",0.451063829787234,-0.15831751637687225,0.07141130525935514
0,"[1, 2]",0.9914893617021276,0.06263154832472301,0.06209851387089558
325,"[2, 3]",0.9517730496453901,0.06263154832472301,0.05961101975303424
1,"[1, 2, 3]",0.9517730496453901,0.06263154832472301,0.05961101975303424
670,"[3, 6]",0.5134751773049645,0.10268877293130384,0.052728135888130474
648,"[3, 5]",0.5163120567375886,0.09719426743679835,0.05018257212339659
649,"[3, 5, 6]",0.5134751773049645,0.09719426743679835,0.04990684370513617
1154,"[5, 6]",0.5134751773049645,0.09719426743679835,0.04990684370513617
27,"[1, 3, 5]",0.5163120567375886,0.0941781346334315,0.04862530639229654
72,"[1, 5]",0.5163120567375886,0.0941781346334315,0.04862530639229654
73,"[1, 5, 6]",0.5134751773049645,0.0941781346334315,0.048358134379152054
28,"[1, 3, 6]",0.5134751773049645,0.0941781346334315,0.048358134379152054
94,"[1, 6]",0.5134751773049645,0.0941781346334315,0.048358134379152054
712,"[3, 8, 9]",0.451063829787234,0.10268877293130384,0.046319191194545556
1406,"[6, 8, 9]",0.451063829787234,0.10268877293130384,0.046319191194545556
1785,"[8, 9]",0.451063829787234,0.10268877293130384,0.046319191194545556
1405,"[6, 8]",0.451063829787234,0.10268877293130384,0.046319191194545556
672,"[3, 6, 8]",0.451063829787234,0.10268877293130384,0.046319191194545556
711,"[3, 8]",0.451063829787234,0.10268877293130384,0.046319191194545556
673,"[3, 6, 9]",0.451063829787234,0.10268877293130384,0.046319191194545556
1424,"[6, 9]",0.451063829787234,0.10268877293130384,0.046319191194545556
1196,"[5, 8, 9]",0.451063829787234,0.09719426743679835,0.04384081850340691
1214,"[5, 9]",0.451063829787234,0.09719426743679835,0.04384081850340691
1195,"[5, 8]",0.451063829787234,0.09719426743679835,0.04384081850340691
1156,"[5, 6, 8]",0.451063829787234,0.09719426743679835,0.04384081850340691
652,"[3, 5, 9]",0.451063829787234,0.09719426743679835,0.04384081850340691
