,Pattern,Relative SUP,local_dropout_interest,local_dropout_criterion
25,"[1, 3]",0.9517730496453901,-0.20066271363794908,0.1909853629093104
325,"[2, 3]",0.9517730496453901,-0.18488942048359486,0.17597276758083993
649,"[3, 5, 6]",0.5134751773049645,0.27139254188434514,0.13935333356330912
1,"[1, 2, 3]",0.9517730496453901,-0.14429067119486885,0.13733197215852058
627,"[3, 4, 6]",0.5134751773049645,0.24628801677982007,0.1264627830841062
626,"[3, 4, 5]",0.5163120567375886,0.24445651494831824,0.12621584601586927
671,"[3, 6, 7]",0.5134751773049645,0.2327083899405247,0.11948998178506375
650,"[3, 5, 7]",0.5134751773049645,0.23087688810902288,0.11854955105739898
628,"[3, 4, 7]",0.5134751773049645,0.20577236300449778,0.10565900057819601
670,"[3, 6]",0.5134751773049645,0.20491803278688525,0.10522032321823044
648,"[3, 5]",0.5163120567375886,0.2021707800396325,0.1043832112545053
712,"[3, 8, 9]",0.451063829787234,-0.22361411829398223,0.10086424059217922
31,"[1, 3, 9]",0.451063829787234,-0.217940359428734,0.09830501318913107
711,"[3, 8]",0.451063829787234,-0.20491803278688525,0.09243111266131845
625,"[3, 4]",0.5617021276595745,0.16451399238284484,0.09240785955121497
26,"[1, 3, 4]",0.5617021276595745,-0.1578742899287022,0.08867832455569656
29,"[1, 3, 7]",0.5134751773049645,-0.17145391676799757,0.08803733031207818
692,"[3, 7, 8]",0.451063829787234,-0.1771276756332458,0.07989588773244279
1157,"[5, 6, 9]",0.451063829787234,0.17217269104061556,0.07766087340555425
329,"[2, 3, 7]",0.5134751773049645,-0.15042285922885856,0.07723840431325786
326,"[2, 3, 4]",0.5617021276595745,-0.13684323238956325,0.07686513478903127
691,"[3, 7]",0.5134751773049645,0.14414455212390181,0.07401464945936519
629,"[3, 4, 8]",0.451063829787234,-0.16354804879395043,0.0737706092432287
397,"[2, 6, 9]",0.451063829787234,0.1606517846699238,0.07246420925536988
376,"[2, 5, 9]",0.451063829787234,0.15882028283842198,0.07163808502499033
676,"[3, 6, 12]",0.27375886524822696,0.25249865511481073,0.069123745300934
655,"[3, 5, 12]",0.27375886524822696,0.2506671532833089,0.06862235543784201
27,"[1, 3, 5]",0.5163120567375886,-0.1327697648241771,0.06855063034893683
330,"[2, 3, 8]",0.451063829787234,-0.14996443006011712,0.06764353015477623
677,"[3, 6, 13]",0.25673758865248225,0.2621743199589409,0.06731000271286285
28,"[1, 3, 6]",0.5134751773049645,-0.13093826299267528,0.06723354780616801
