,Pattern,Relative SUP,local_interest_16,local_criterion_16,local_interest_20,local_criterion_20,local_interest_22,local_criterion_22,local_interest_27,local_criterion_27
0,"[1, 2]",0.9914893617021276,0,0,0,0,0,0,0.0008611955420466111,0.0008538662182845122
1943,"[8, 27, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1945,"[8, 27, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1946,"[8, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1947,"[8, 28, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1948,"[8, 28, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1949,"[8, 28, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1950,"[8, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1951,"[8, 29, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1952,"[8, 29, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1953,"[8, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1954,"[8, 30, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1955,"[8, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1956,"[9, 10]",0.7389937106918238,0,0,0,0,0,0,0.07655298295736368,0.05657217294019014
1957,"[9, 10, 11]",0.6823899371069182,0,0,0,0,0,0,0.1244094716401472,0.08489577152802498
1958,"[9, 10, 12]",0.6069182389937107,0,0,0,0,0,0,0.1714799127198049,0.10407428665069919
1959,"[9, 10, 13]",0.5691823899371069,0,0,0,0,0,0,0.20231766218423158,0.11515565048850916
1960,"[9, 10, 19]",0.5094339622641509,0,0,0,0,0,0,0.25739576054041463,0.13112614216209803
1961,"[9, 10, 20]",0.4528301886792453,0,0,0,0,0,0,0.32298218029350106,0.1462560816423401
1962,"[9, 10, 21]",0.449685534591195,0,0,0,0,0,0,0.32710999692131765,0.14709663383568686
1963,"[9, 10, 22]",0.32075471698113206,0,0,0,0,0,0,0.5583924759102186,0.17910702057497577
1944,"[8, 27, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1942,"[8, 27, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1965,"[9, 10, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1941,"[8, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1922,"[8, 24, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1923,"[8, 24, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
