,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
37,"[2, 3]",0.975609756097561,-0.1463931361876135,0.1428225718903546
73,"[3, 4]",0.6455284552845528,-0.1354574600802227,0.08744164496235514
1,"[1, 2, 3]",0.975609756097561,-0.0859392066483181,0.08384312843738351
74,"[3, 4, 5]",0.6439024390243903,-0.11905279631409796,0.07665838591932161
297,"[10, 11]",0.4682926829268293,-0.15282418558846894,0.0715664478853318
38,"[2, 3, 4]",0.6455284552845528,-0.08677883721087058,0.05601820873612296
39,"[2, 3, 4, 5]",0.6439024390243903,-0.08664499510361506,0.05579092367647409
75,"[3, 4, 5, 6]",0.5658536585365853,-0.0805474341280053,0.04557806028706641
269,"[9, 10, 11]",0.4682926829268293,-0.09614373267886867,0.04502340652278728
3,"[1, 2, 3, 4, 5]",0.6439024390243903,-0.06232226559683751,0.04012945882332952
2,"[1, 2, 3, 4]",0.6455284552845528,-0.05634196480058476,0.03637034150541813
76,"[3, 4, 5, 6, 7]",0.5642276422764227,-0.06319134325313132,0.03565430261599442
40,"[2, 3, 4, 5, 6]",0.5658536585365853,-0.06232226559683751,0.03526528199625927
325,"[11, 12]",0.3544715447154472,-0.09802701525576196,0.03474778752155465
298,"[10, 11, 12]",0.3544715447154472,-0.09787183285439296,0.03469277977602873
240,"[8, 9, 10, 11]",0.4682926829268293,-0.06336563640158333,0.029673663875863412
80,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,-0.06326880687466555,0.02962831931691655
41,"[2, 3, 4, 5, 6, 7]",0.5642276422764227,-0.050896384622970484,0.028717147096212613
45,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,-0.05588408533441562,0.026170108254165367
4,"[1, 2, 3, 4, 5, 6]",0.5658536585365853,-0.046107112592319144,0.02608987834492205
77,"[3, 4, 5, 6, 7, 8]",0.5495934959349593,-0.046831343972563985,0.025738202053214025
270,"[9, 10, 11, 12]",0.3544715447154472,-0.06909958135571176,0.024493835342349862
79,"[3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,-0.045166544843338374,0.024382590061769658
210,"[7, 8, 9, 10, 11]",0.4682926829268293,-0.04944590507199373,0.02315515554590926
0,"[1, 2]",1.0,0.022773530479053183,0.022773530479053183
299,"[10, 11, 12, 13]",0.34471544715447155,-0.06583542045341435,0.022694486400201372
9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,-0.04762474553762577,0.022302319861522316
5,"[1, 2, 3, 4, 5, 6, 7]",0.5642276422764227,-0.03862995075822147,0.02179608603756561
268,"[9, 10]",0.5398373983739837,-0.04017214745566158,0.021686427569560397
42,"[2, 3, 4, 5, 6, 7, 8]",0.5495934959349593,-0.03862995075822147,0.02123076968500627
44,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,-0.03897266113543037,0.021038899995061595
78,"[3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,-0.03768155581357886,0.020709537991853096
147,"[5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,-0.0426434773873635,0.01996962843505803
81,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,-0.05573863892582309,0.019757761440373063
326,"[11, 12, 13]",0.34471544715447155,-0.0552600712540008,0.019049000172110846
46,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,-0.04970981643003612,0.01762071541747622
43,"[2, 3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,-0.03164906027090229,0.017394117677341423
108,"[4, 5]",0.6439024390243903,-0.026896854019616626,0.01731894990531412
241,"[8, 9, 10, 11, 12]",0.3544715447154472,-0.048285934598514865,0.01711598982516462
8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,-0.03157852977886007,0.01704727136029519
271,"[9, 10, 11, 12, 13]",0.34471544715447155,-0.04922490173466511,0.016968584012600006
179,"[6, 7, 8, 9, 10, 11]",0.4682926829268293,-0.035376812154949325,0.016566702277439685
82,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.34471544715447155,-0.047919324773519026,0.01651853146664396
6,"[1, 2, 3, 4, 5, 6, 7, 8]",0.5495934959349593,-0.029430125359659692,0.01617460548221947
300,"[10, 11, 12, 13, 14]",0.34146341463414637,-0.045674605876676946,0.01559620688471896
114,"[4, 5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,-0.03325682262111615,0.015573926690864149
10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,-0.04265327735834372,0.015119373112388507
47,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.34471544715447155,-0.043044513665072975,0.014838108775602392
142,"[5, 6]",0.5658536585365853,-0.025637408175787912,0.014507021211665354
238,"[8, 9]",0.5495934959349593,0.02609291278530228,0.014340495156800278
83,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.34146341463414637,-0.041011993339869726,0.014004095286784786
176,"[6, 7, 8]",0.5495934959349593,0.025390108368970016,0.0139542384206697
211,"[7, 8, 9, 10, 11, 12]",0.3544715447154472,-0.03919944212436828,0.013895086801808594
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,-0.02424709219299396,0.01332604416460481
177,"[6, 7, 8, 9]",0.5495934959349593,0.023346874561810477,0.01283129040958039
11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.34471544715447155,-0.03704350088850793,0.012769466972949074
148,"[5, 6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,-0.03580893363722319,0.01269324802099944
48,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.34146341463414637,-0.03704350088850793,0.012649000303392952
242,"[8, 9, 10, 11, 12, 13]",0.34471544715447155,-0.03519264270717547,0.012131447567351544
403,"[14, 15]",0.34471544715447155,0.034968652430272695,0.012054234658890751
272,"[9, 10, 11, 12, 13, 14]",0.34146341463414637,-0.03519264270717547,0.012016999948791624
84,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.34146341463414637,-0.03516732828062799,0.012008355998263217
175,"[6, 7]",0.5658536585365853,0.020600836338318673,0.011657058610951053
379,"[13, 14, 15]",0.34471544715447155,0.033403707203355636,0.01151477386522178
85,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.34146341463414637,-0.03318996038618362,0.01133315720503831
207,"[7, 8]",0.5495934959349593,0.020600836338318673,0.011322085662360506
530,"[21, 22]",0.3235772357723577,0.034968652430272695,0.011315059892071978
378,"[13, 14]",0.34471544715447155,0.03262123458989711,0.011245043468387297
327,"[11, 12, 13, 14]",0.34146341463414637,-0.03270289033293243,0.011166840601489123
301,"[10, 11, 12, 13, 14, 15]",0.34146341463414637,-0.032234062825518675,0.011006753159933207
12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.34146341463414637,-0.03189977565145216,0.010892606320008056
49,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.34146341463414637,-0.03189977565145216,0.010892606320008056
208,"[7, 8, 9]",0.5495934959349593,0.019472948605656404,0.010702205900344494
579,"[24, 25, 26]",0.3008130081300813,0.034968652430272695,0.010519025527805608
592,"[25, 26]",0.3008130081300813,0.034968652430272695,0.010519025527805608
578,"[24, 25]",0.3008130081300813,0.034968652430272695,0.010519025527805608
495,"[19, 20, 21, 22]",0.3235772357723577,0.032481090241217966,0.010510141395125813
50,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.34146341463414637,-0.03027206912524913,0.010336804091548484
513,"[20, 21, 22]",0.3235772357723577,0.031651902844866395,0.010241835229477093
494,"[19, 20, 21]",0.3235772357723577,0.031651902844866395,0.010241835229477093
180,"[6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,-0.02860400004513386,0.01013930408103932
212,"[7, 8, 9, 10, 11, 12, 13]",0.34471544715447155,-0.02927469085666974,0.01009143814896583
115,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,-0.02822463426168559,0.010004829705768225
149,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",0.34471544715447155,-0.028466405816473778,0.009812809809906408
493,"[19, 20]",0.32682926829268294,0.029993528052163244,0.009802762826804572
302,"[10, 11, 12, 13, 14, 15, 16]",0.34146341463414637,-0.028698364958788372,0.009799441693244811
512,"[20, 21]",0.3235772357723577,0.029993528052163244,0.00970522289817965
354,"[12, 13, 14, 15]",0.34308943089430893,0.02806099855595646,0.009627432024889127
638,"[29, 30]",0.2682926829268293,0.034968652430272695,0.00938183357885365
13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.34146341463414637,-0.02744188044600384,0.009370398201074482
86,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.32682926829268294,-0.02864605286508652,0.009362368497369742
