,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
297,"[10, 11]",0.4682926829268293,-0.09756146805165503,0.045687321624189675
73,"[3, 4]",0.6455284552845528,0.03244976074261526,0.020947243926533753
74,"[3, 4, 5]",0.6439024390243903,0.03244976074261526,0.020894480087927877
108,"[4, 5]",0.6439024390243903,0.03244976074261526,0.020894480087927877
142,"[5, 6]",0.5658536585365853,0.034968652430272695,0.01978713991176406
109,"[4, 5, 6]",0.5658536585365853,0.03244976074261526,0.018361815834845707
75,"[3, 4, 5, 6]",0.5658536585365853,0.03244976074261526,0.018361815834845707
403,"[14, 15]",0.34471544715447155,0.034968652430272695,0.012054234658890751
530,"[21, 22]",0.3235772357723577,0.034968652430272695,0.011315059892071978
531,"[21, 22, 23]",0.3235772357723577,0.034968652430272695,0.011315059892071978
547,"[22, 23]",0.3235772357723577,0.034968652430272695,0.011315059892071978
0,"[1, 2]",1.0,0.01057840852783367,0.01057840852783367
578,"[24, 25]",0.3008130081300813,0.034968652430272695,0.010519025527805608
532,"[21, 22, 23, 24]",0.3008130081300813,0.034968652430272695,0.010519025527805608
548,"[22, 23, 24]",0.3008130081300813,0.034968652430272695,0.010519025527805608
605,"[26, 27]",0.3008130081300813,0.034968652430272695,0.010519025527805608
593,"[25, 26, 27]",0.3008130081300813,0.034968652430272695,0.010519025527805608
592,"[25, 26]",0.3008130081300813,0.034968652430272695,0.010519025527805608
580,"[24, 25, 26, 27]",0.3008130081300813,0.034968652430272695,0.010519025527805608
579,"[24, 25, 26]",0.3008130081300813,0.034968652430272695,0.010519025527805608
563,"[23, 24]",0.3008130081300813,0.034968652430272695,0.010519025527805608
564,"[23, 24, 25]",0.2991869918699187,0.034968652430272695,0.01046216593035801
534,"[21, 22, 23, 24, 25, 26]",0.2991869918699187,0.034968652430272695,0.01046216593035801
535,"[21, 22, 23, 24, 25, 26, 27]",0.2991869918699187,0.034968652430272695,0.01046216593035801
549,"[22, 23, 24, 25]",0.2991869918699187,0.034968652430272695,0.01046216593035801
550,"[22, 23, 24, 25, 26]",0.2991869918699187,0.034968652430272695,0.01046216593035801
551,"[22, 23, 24, 25, 26, 27]",0.2991869918699187,0.034968652430272695,0.01046216593035801
533,"[21, 22, 23, 24, 25]",0.2991869918699187,0.034968652430272695,0.01046216593035801
565,"[23, 24, 25, 26]",0.2991869918699187,0.034968652430272695,0.01046216593035801
566,"[23, 24, 25, 26, 27]",0.2991869918699187,0.034968652430272695,0.01046216593035801
378,"[13, 14]",0.34471544715447155,0.030273816749521523,0.010435852277883842
379,"[13, 14, 15]",0.34471544715447155,0.030273816749521523,0.010435852277883842
1,"[1, 2, 3]",0.975609756097561,0.01057840852783367,0.010320398563740165
37,"[2, 3]",0.975609756097561,0.01057840852783367,0.010320398563740165
238,"[8, 9]",0.5495934959349593,0.017217173140331866,0.009462446376312472
638,"[29, 30]",0.2682926829268293,0.034968652430272695,0.00938183357885365
268,"[9, 10]",0.5398373983739837,0.017217173140331866,0.009294473955431187
239,"[8, 9, 10]",0.5398373983739837,0.017217173140331866,0.009294473955431187
669,"[33, 34, 35]",0.24227642276422764,0.034968652430272695,0.008472080019692085
668,"[33, 34]",0.24227642276422764,0.034968652430272695,0.008472080019692085
673,"[34, 35]",0.24227642276422764,0.034968652430272695,0.008472080019692085
682,"[37, 38]",0.23902439024390243,0.034968652430272695,0.008358360824796887
493,"[19, 20]",0.32682926829268294,0.02501840367405379,0.008176746566641972
496,"[19, 20, 21, 22, 23]",0.3235772357723577,0.02501840367405379,0.008095385904287324
494,"[19, 20, 21]",0.3235772357723577,0.02501840367405379,0.008095385904287324
513,"[20, 21, 22]",0.3235772357723577,0.02501840367405379,0.008095385904287324
514,"[20, 21, 22, 23]",0.3235772357723577,0.02501840367405379,0.008095385904287324
495,"[19, 20, 21, 22]",0.3235772357723577,0.02501840367405379,0.008095385904287324
512,"[20, 21]",0.3235772357723577,0.02501840367405379,0.008095385904287324
269,"[9, 10, 11]",0.4682926829268293,0.017217173140331866,0.008062676202301753
240,"[8, 9, 10, 11]",0.4682926829268293,0.017217173140331866,0.008062676202301753
497,"[19, 20, 21, 22, 23, 24]",0.3008130081300813,0.02501840367405379,0.007525861267804799
515,"[20, 21, 22, 23, 24]",0.3008130081300813,0.02501840367405379,0.007525861267804799
500,"[19, 20, 21, 22, 23, 24, 25, 26, 27]",0.2991869918699187,0.02501840367405379,0.007485180936627475
498,"[19, 20, 21, 22, 23, 24, 25]",0.2991869918699187,0.02501840367405379,0.007485180936627475
518,"[20, 21, 22, 23, 24, 25, 26, 27]",0.2991869918699187,0.02501840367405379,0.007485180936627475
499,"[19, 20, 21, 22, 23, 24, 25, 26]",0.2991869918699187,0.02501840367405379,0.007485180936627475
516,"[20, 21, 22, 23, 24, 25]",0.2991869918699187,0.02501840367405379,0.007485180936627475
517,"[20, 21, 22, 23, 24, 25, 26]",0.2991869918699187,0.02501840367405379,0.007485180936627475
647,"[30, 31]",0.2682926829268293,-0.025637408175787912,0.006878329022772367
639,"[29, 30, 31]",0.2682926829268293,-0.025637408175787912,0.006878329022772367
2,"[1, 2, 3, 4]",0.6455284552845528,0.01057840852783367,0.006828663716341409
38,"[2, 3, 4]",0.6455284552845528,0.01057840852783367,0.006828663716341409
39,"[2, 3, 4, 5]",0.6439024390243903,0.01057840852783367,0.0068114630520685095
3,"[1, 2, 3, 4, 5]",0.6439024390243903,0.01057840852783367,0.0068114630520685095
472,"[17, 18]",0.2780487804878049,0.023272745997524158,0.006470958643214035
474,"[17, 18, 19, 20]",0.27479674796747966,0.023272745997524158,0.006395274916392817
473,"[17, 18, 19]",0.27479674796747966,0.023272745997524158,0.006395274916392817
684,"[18, 19, 20]",0.27479674796747966,0.023272745997524158,0.006395274916392817
683,"[18, 19]",0.27479674796747966,0.023272745997524158,0.006395274916392817
475,"[17, 18, 19, 20, 21]",0.27154471544715447,0.023272745997524158,0.006319591189571601
687,"[18, 19, 20, 21, 22, 23]",0.27154471544715447,0.023272745997524158,0.006319591189571601
476,"[17, 18, 19, 20, 21, 22]",0.27154471544715447,0.023272745997524158,0.006319591189571601
477,"[17, 18, 19, 20, 21, 22, 23]",0.27154471544715447,0.023272745997524158,0.006319591189571601
685,"[18, 19, 20, 21]",0.27154471544715447,0.023272745997524158,0.006319591189571601
686,"[18, 19, 20, 21, 22]",0.27154471544715447,0.023272745997524158,0.006319591189571601
4,"[1, 2, 3, 4, 5, 6]",0.5658536585365853,0.01057840852783367,0.005985831166969296
40,"[2, 3, 4, 5, 6]",0.5658536585365853,0.01057840852783367,0.005985831166969296
688,"[18, 19, 20, 21, 22, 23, 24]",0.25203252032520324,0.023272745997524158,0.005865488828644299
478,"[17, 18, 19, 20, 21, 22, 23, 24]",0.25203252032520324,0.023272745997524158,0.005865488828644299
690,"[18, 19, 20, 21, 22, 23, 24, 25, 26]",0.25040650406504067,0.023272745997524158,0.005827646965233692
480,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.25040650406504067,0.023272745997524158,0.005827646965233692
689,"[18, 19, 20, 21, 22, 23, 24, 25]",0.25040650406504067,0.023272745997524158,0.005827646965233692
481,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.25040650406504067,0.023272745997524158,0.005827646965233692
691,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.25040650406504067,0.023272745997524158,0.005827646965233692
479,"[17, 18, 19, 20, 21, 22, 23, 24, 25]",0.25040650406504067,0.023272745997524158,0.005827646965233692
670,"[33, 34, 35, 36]",0.24227642276422764,0.021545833638326385,0.0052200474993668805
677,"[35, 36]",0.24227642276422764,0.021545833638326385,0.0052200474993668805
674,"[34, 35, 36]",0.24227642276422764,0.021545833638326385,0.0052200474993668805
671,"[33, 34, 35, 36, 37]",0.23902439024390243,0.021545833638326385,0.005149979747697526
681,"[36, 37, 38]",0.23902439024390243,0.021545833638326385,0.005149979747697526
680,"[36, 37]",0.23902439024390243,0.021545833638326385,0.005149979747697526
675,"[34, 35, 36, 37]",0.23902439024390243,0.021545833638326385,0.005149979747697526
679,"[35, 36, 37, 38]",0.23902439024390243,0.021545833638326385,0.005149979747697526
678,"[35, 36, 37]",0.23902439024390243,0.021545833638326385,0.005149979747697526
672,"[33, 34, 35, 36, 37, 38]",0.23902439024390243,0.021545833638326385,0.005149979747697526
676,"[34, 35, 36, 37, 38]",0.23902439024390243,0.021545833638326385,0.005149979747697526
298,"[10, 11, 12]",0.3544715447154472,0.012032872613758933,0.004265310942763329
270,"[9, 10, 11, 12]",0.3544715447154472,0.012032872613758933,0.004265310942763329
241,"[8, 9, 10, 11, 12]",0.3544715447154472,0.012032872613758933,0.004265310942763329
325,"[11, 12]",0.3544715447154472,0.012032872613758933,0.004265310942763329
352,"[12, 13]",0.3463414634146341,0.012032872613758933,0.004167482710131142
326,"[11, 12, 13]",0.34471544715447155,0.012032872613758933,0.004147917063604705
271,"[9, 10, 11, 12, 13]",0.34471544715447155,0.012032872613758933,0.004147917063604705
299,"[10, 11, 12, 13]",0.34471544715447155,0.012032872613758933,0.004147917063604705
242,"[8, 9, 10, 11, 12, 13]",0.34471544715447155,0.012032872613758933,0.004147917063604705
353,"[12, 13, 14]",0.34308943089430893,0.012032872613758933,0.0041283514170782675
354,"[12, 13, 14, 15]",0.34308943089430893,0.012032872613758933,0.0041283514170782675
327,"[11, 12, 13, 14]",0.34146341463414637,0.012032872613758933,0.004108785770551831
244,"[8, 9, 10, 11, 12, 13, 14, 15]",0.34146341463414637,0.012032872613758933,0.004108785770551831
328,"[11, 12, 13, 14, 15]",0.34146341463414637,0.012032872613758933,0.004108785770551831
243,"[8, 9, 10, 11, 12, 13, 14]",0.34146341463414637,0.012032872613758933,0.004108785770551831
272,"[9, 10, 11, 12, 13, 14]",0.34146341463414637,0.012032872613758933,0.004108785770551831
301,"[10, 11, 12, 13, 14, 15]",0.34146341463414637,0.012032872613758933,0.004108785770551831
300,"[10, 11, 12, 13, 14]",0.34146341463414637,0.012032872613758933,0.004108785770551831
273,"[9, 10, 11, 12, 13, 14, 15]",0.34146341463414637,0.012032872613758933,0.004108785770551831
175,"[6, 7]",0.5658536585365853,0.00623302024636465,0.003526977310138045
41,"[2, 3, 4, 5, 6, 7]",0.5642276422764227,0.00623302024636465,0.003516842317867534
143,"[5, 6, 7]",0.5642276422764227,0.00623302024636465,0.003516842317867534
5,"[1, 2, 3, 4, 5, 6, 7]",0.5642276422764227,0.00623302024636465,0.003516842317867534
76,"[3, 4, 5, 6, 7]",0.5642276422764227,0.00623302024636465,0.003516842317867534
110,"[4, 5, 6, 7]",0.5642276422764227,0.00623302024636465,0.003516842317867534
78,"[3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,0.00623302024636465,0.003425627387432929
43,"[2, 3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,0.00623302024636465,0.003425627387432929
207,"[7, 8]",0.5495934959349593,0.00623302024636465,0.003425627387432929
177,"[6, 7, 8, 9]",0.5495934959349593,0.00623302024636465,0.003425627387432929
176,"[6, 7, 8]",0.5495934959349593,0.00623302024636465,0.003425627387432929
111,"[4, 5, 6, 7, 8]",0.5495934959349593,0.00623302024636465,0.003425627387432929
112,"[4, 5, 6, 7, 8, 9]",0.5495934959349593,0.00623302024636465,0.003425627387432929
77,"[3, 4, 5, 6, 7, 8]",0.5495934959349593,0.00623302024636465,0.003425627387432929
145,"[5, 6, 7, 8, 9]",0.5495934959349593,0.00623302024636465,0.003425627387432929
144,"[5, 6, 7, 8]",0.5495934959349593,0.00623302024636465,0.003425627387432929
42,"[2, 3, 4, 5, 6, 7, 8]",0.5495934959349593,0.00623302024636465,0.003425627387432929
208,"[7, 8, 9]",0.5495934959349593,0.00623302024636465,0.003425627387432929
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,0.00623302024636465,0.003425627387432929
6,"[1, 2, 3, 4, 5, 6, 7, 8]",0.5495934959349593,0.00623302024636465,0.003425627387432929
113,"[4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,0.00623302024636465,0.0033648174338098595
146,"[5, 6, 7, 8, 9, 10]",0.5398373983739837,0.00623302024636465,0.0033648174338098595
209,"[7, 8, 9, 10]",0.5398373983739837,0.00623302024636465,0.0033648174338098595
79,"[3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,0.00623302024636465,0.0033648174338098595
8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,0.00623302024636465,0.0033648174338098595
44,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,0.00623302024636465,0.0033648174338098595
178,"[6, 7, 8, 9, 10]",0.5398373983739837,0.00623302024636465,0.0033648174338098595
9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,0.00623302024636465,0.002918877773907348
114,"[4, 5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,0.00623302024636465,0.002918877773907348
147,"[5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,0.00623302024636465,0.002918877773907348
80,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,0.00623302024636465,0.002918877773907348
179,"[6, 7, 8, 9, 10, 11]",0.4682926829268293,0.00623302024636465,0.002918877773907348
210,"[7, 8, 9, 10, 11]",0.4682926829268293,0.00623302024636465,0.002918877773907348
45,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,0.00623302024636465,0.002918877773907348
427,"[15, 16]",0.34471544715447155,-0.0074841777584065475,0.0025799116825726636
404,"[14, 15, 16]",0.34471544715447155,-0.0074841777584065475,0.0025799116825726636
380,"[13, 14, 15, 16]",0.34471544715447155,-0.0074841777584065475,0.0025799116825726636
355,"[12, 13, 14, 15, 16]",0.34308943089430893,-0.0074841777584065475,0.002567742287843547
302,"[10, 11, 12, 13, 14, 15, 16]",0.34146341463414637,-0.0074841777584065475,0.0025555728931144312
329,"[11, 12, 13, 14, 15, 16]",0.34146341463414637,-0.0074841777584065475,0.0025555728931144312
274,"[9, 10, 11, 12, 13, 14, 15, 16]",0.34146341463414637,-0.0074841777584065475,0.0025555728931144312
245,"[8, 9, 10, 11, 12, 13, 14, 15, 16]",0.34146341463414637,-0.0074841777584065475,0.0025555728931144312
428,"[15, 16, 17]",0.3300813008130081,-0.0074841777584065475,0.0024703871300106165
450,"[16, 17]",0.3300813008130081,-0.0074841777584065475,0.0024703871300106165
405,"[14, 15, 16, 17]",0.3300813008130081,-0.0074841777584065475,0.0024703871300106165
381,"[13, 14, 15, 16, 17]",0.3300813008130081,-0.0074841777584065475,0.0024703871300106165
356,"[12, 13, 14, 15, 16, 17]",0.3284552845528455,-0.0074841777584065475,0.0024582177352815
246,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.32682926829268294,-0.0074841777584065475,0.0024460483405523837
275,"[9, 10, 11, 12, 13, 14, 15, 16, 17]",0.32682926829268294,-0.0074841777584065475,0.0024460483405523837
303,"[10, 11, 12, 13, 14, 15, 16, 17]",0.32682926829268294,-0.0074841777584065475,0.0024460483405523837
330,"[11, 12, 13, 14, 15, 16, 17]",0.32682926829268294,-0.0074841777584065475,0.0024460483405523837
115,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,0.00623302024636465,0.0022094283149715344
148,"[5, 6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,0.00623302024636465,0.0022094283149715344
10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,0.00623302024636465,0.0022094283149715344
211,"[7, 8, 9, 10, 11, 12]",0.3544715447154472,0.00623302024636465,0.0022094283149715344
180,"[6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,0.00623302024636465,0.0022094283149715344
81,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,0.00623302024636465,0.0022094283149715344
46,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,0.00623302024636465,0.0022094283149715344
181,"[6, 7, 8, 9, 10, 11, 12, 13]",0.34471544715447155,0.00623302024636465,0.0021486183613484647
