,Pattern,Relative SUP,local_interest_11,local_criterion_11,local_interest_24,local_criterion_24,local_interest_28,local_criterion_28,local_interest_32,local_criterion_32
0,"[1, 2]",1.0,0,0,0,0,0,0,0.0,0.0
472,"[17, 18]",0.8423645320197044,0,0,0,0,0,0,-0.009160833117276002,0.007716760901744809
464,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.5990566037735849,0,0,0,0,0,0,0.20587579854404991,0.1233312566749733
465,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.5613207547169812,0,0,0,0,0,0,0.268867924528302,0.1509211463154148
466,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",0.4858490566037736,0,0,0,0,0,0,0.268867924528302,0.1306292274830901
467,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.4858490566037736,0,0,0,0,0,0,0.268867924528302,0.1306292274830901
468,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.4858490566037736,0,0,0,0,0,0,0.268867924528302,0.1306292274830901
469,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",0.4858490566037736,0,0,0,0,0,0,0.268867924528302,0.1306292274830901
470,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",0.47641509433962265,0,0,0,0,0,0,0.268867924528302,0.12809273762904955
471,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",0.47641509433962265,0,0,0,0,0,0,0.268867924528302,0.12809273762904955
473,"[17, 18, 19]",0.8325123152709359,0,0,0,0,0,0,-0.00023318856210097216,0.00019413234972938075
462,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.5990566037735849,0,0,0,0,0,0,0.20587579854404991,0.1233312566749733
474,"[17, 18, 19, 20]",0.8325123152709359,0,0,0,0,0,0,-0.00023318856210097216,0.00019413234972938075
475,"[17, 18, 19, 20, 21]",0.8226600985221675,0,0,0,0,0,0,0.008908291790802658,0.0073284962022859305
476,"[17, 18, 19, 20, 21, 22]",0.8226600985221675,0,0,0,0,0,0,0.008908291790802658,0.0073284962022859305
477,"[17, 18, 19, 20, 21, 22, 23]",0.8226600985221675,0,0,0,0,0,0,0.008908291790802658,0.0073284962022859305
478,"[17, 18, 19, 20, 21, 22, 23, 24]",0.7635467980295566,0,0,0,0,0,0,0.06871126648657244,0.05246426751437797
479,"[17, 18, 19, 20, 21, 22, 23, 24, 25]",0.7586206896551724,0,0,0,0,0,0,0.0676220331392745,0.05129947341600135
480,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.7586206896551724,0,0,0,0,0,0,0.0676220331392745,0.05129947341600135
481,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.7586206896551724,0,0,0,0,0,0,0.0676220331392745,0.05129947341600135
463,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0.5990566037735849,0,0,0,0,0,0,0.20587579854404991,0.1233312566749733
461,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",0.660377358490566,0,0,0,0,0,0,0.18315363881401636,0.12095051619793533
483,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.625615763546798,0,0,0,0,0,0,0.17346107598619132,0.10851998349875024
450,"[16, 17]",0.9575471698113207,0,0,0,0,0,0,0.0324147225578586,0.031038625845496676
442,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.5990566037735849,0,0,0,0,0,0,0.20587579854404991,0.1233312566749733
443,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.5613207547169812,0,0,0,0,0,0,0.268867924528302,0.1509211463154148
444,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",0.4858490566037736,0,0,0,0,0,0,0.268867924528302,0.1306292274830901
445,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.4858490566037736,0,0,0,0,0,0,0.268867924528302,0.1306292274830901
446,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.4858490566037736,0,0,0,0,0,0,0.268867924528302,0.1306292274830901
